Final annotation,Text,English Translation
Derogation,তুমি এত বড় বড় স্বপ্ন দেখো কিন্তু ছোট একটা কাজও ঠিকমতো করতে পারো না।,Loading...
Derogation,মেয়েটা চুল কালো করার চেষ্টা করে কিন্তু রঙ উঠে যায়।,Loading...
Non Misogynistic,মেয়েটার আত্মসম্মানবোধ তাকে নিজের মূল্য সম্পর্কে সচেতন রাখে।,Loading...
Non Misogynistic,মেয়েদের বিরুদ্ধে সাইবার বুলিং প্রতিরোধে অভিভাবক ও প্রতিষ্ঠানের ভূমিকা রাখা উচিত।,Loading...
Non Misogynistic,বোনটির ত্রাণ কার্যক্রম সংগঠিত এবং কার্যকর,Loading...
Derogation,মেয়েটার রান্নার মান দেখলে মনে হয় হোটেলে খাওয়াই ভালো।,Loading...
Stereotype,অনেক পরিবার এখনও কন্যাসন্তানের জন্মকে হতাশার কারণ মনে করে।,Loading...
Stereotype,"যুগ যুগ ধরে দেখে আসছি, বউ যত নরম, সংসার তত সুন্দর — এটাই বাস্তব।",Loading...
Stereotype,মেয়েরা রাত করে জেগে থাকলে কী করে তা ভাবলে মাথা গরম হয়,Loading...
Derogation,এই মেয়েটা ভিউ পাওয়ার জন্য যা খুশি করে,Loading...
Stereotype,নারীদের আসল জায়গা বাসা আর রান্নাঘর,Loading...
Non Misogynistic,"মেয়ে বা ছেলে, মানুষ হিসেবে সবার সমান মর্যাদা পাওয়া উচিত।",Loading...
Non Misogynistic,মহিলা কোচটির নেতৃত্বে দলটি জাতীয় চ্যাম্পিয়নশিপ জিতেছে।,Loading...
Sexual Harassment,"আপুর দুধের দাম অনেক, তাইতো নাড়িয়ে দেখায়","Your milk is expensive, so you show it off."
Sexual Harassment,কুকুরের মতো না কুকুরই তোমার পিছনে ঘুরবে কুত্তা স্টাইল লাগানোর জন্য,Loading...
Stereotype,অফিসের বস যখন মেয়ে তার মানে একটু বেশিই কড়া,Loading...
Non Misogynistic,মেয়েদের প্রতি সমতার দৃষ্টিভঙ্গি থাকলে সমাজ আরও শক্তিশালী হয়।,Loading...
Derogation,মেয়েটার মনে হয় চামড়ার ব্যবসা ভালই হচ্ছে,Loading...
Sexual Harassment,এই সুন্দরীকে পেলে মাথা ঠিক থাকবে না,Loading...
Derogation,"মেয়েটার ব্যবসার বুদ্ধি শূন্য, তাই প্রতিটা উদ্যোগ ডুবে যায়।",Loading...
Derogation,এই ধরনের মেয়েরা সমাজে নষ্টামি ছড়াচ্ছে,Loading...
Derogation,মেয়েটার মাথায় গোবর ছাড়া আর কী আছে সন্দেহ হয়,Loading...
Sexual Harassment,সব খুলে ফেললে কি সমস্যা হতো? কিছুই দেখতে পারছি না,Loading...
Derogation,মেয়েটার বক্তৃতা এত ঘুম পাড়ানো যে দর্শক ঘুমিয়ে যায়।,Loading...
Non Misogynistic,দিদির সাহস তরুণ প্রজন্মের জন্য উদাহরণ,Loading...
Non Misogynistic,মেয়েটা কারো বিরুদ্ধে পিছনে কথা বলে না,Loading...
Derogation,"তুমি একটা বাজারের মেয়ে, নিষিদ্ধ পল্লি তোমার ঠিকানা",Loading...
Stereotype,মেয়েরা শুধুই একটি ভোগপণ্য,Loading...
Non Misogynistic,আপু তুমি যা বললে সেটা হুবহু আমার জীবনের সাথে মিলে গেল,Loading...
Stereotype,মেয়েরা টেকনোলজির ব্যাপারে ছেলেদের থেকে একটু কম বোঝে,Loading...
Non Misogynistic,আপুর অধ্যয়নের অভ্যাস অনুপ্রেরণাদায়ক,Loading...
Sexual Harassment,এই সুন্দরীর বুকের গভীর গুহায় একটু জায়গা দাও,Loading...
Derogation,মেয়েটার ভান দেখলে মনে হয় থিয়েটারের অভিনয় করছে,Loading...
Non Misogynistic,দিদির গবেষণা উপস্থাপনা মানসম্পন্ন,Loading...
Sexual Harassment,আপু তোমার নিচের অংশ বিক্রি করবা? রেট কত?,Loading...
Non Misogynistic,দিদির রসুনের চাষ পদ্ধতি কাজে লাগে,Loading...
Derogation,এই মেয়েকে দেখলে মনে হয় ভদ্রতা শব্দটা অভিধানে নেই,Loading...
Sexual Harassment,আপু আরেকটু খুল আমরা দেখার জন্য অপেক্ষা করছি,Loading...
Non Misogynistic,"মেয়েদের আত্মনির্ভরশীলতা শুধু তাদের নয়, পুরো পরিবারের শক্তি বাড়ায়।",Loading...
Derogation,এই মেয়েটার বুদ্ধির দৌড় দেখলে হাসি পায়,Loading...
Derogation,এই বেডির মতো হতাশাবাদী মানুষের সাথে থাকা কঠিন।,Loading...
Derogation,বুড়ি বয়সে কত ঢং দেখাবে মানুষ,Loading...
Sexual Harassment,আপুটিকে অনুষ্ঠান শেষে খেয়ে ছেড়ে দিবে,Loading...
Non Misogynistic,দিদির পরিধান সংস্কৃতি ও আধুনিকতার সংমিশ্রণ,Loading...
Stereotype,মেয়েরা মুখের ওপর জবাব দিলে বাড়ির শান্তি নষ্ট হয়।,Loading...
Non Misogynistic,নারী নেতৃত্ব মানে আরও বৈচিত্র্যময় ও অন্তর্ভুক্তিমূলক সিদ্ধান্তগ্রহণ প্রক্রিয়া।,Loading...
Stereotype,সত্যি বলতে রান্না না জানা মেয়ে নিয়ে কে ঘর করতে চায়।,Loading...
Non Misogynistic,বোনটি নিজের পায়ে দাঁড়ানোর সিদ্ধান্ত নিয়েছেন,Loading...
Non Misogynistic,মেয়েটা প্রতিদিন নিজেকে আগের চেয়ে একটু বেশি উন্নত করার চেষ্টা করে।,Loading...
Non Misogynistic,মেয়েটার নেতৃত্বে দলটি অসম্ভব মনে হওয়া কাজটি সম্ভব করে দেখিয়েছে।,Loading...
Stereotype,মহিলা সাংবাদিক মানে প্রতিবেদন একচোখা হবে,Loading...
Sexual Harassment,মেয়েটাকে দেখলেই রেপ করতে মন চায়,Loading...
Non Misogynistic,মহিলা সামাজিক নেত্রীটির নেতৃত্বে সম্প্রদায় কঠিন সংকট থেকে বেরিয়ে এসেছে।,Loading...
Stereotype,আজকালকার মেয়েদের বাহাদুরি দেখানো মানেই ঘরে অশান্তি ডেকে আনা।,Loading...
Derogation,২ পয়সার শিল্পী হয়ে মেয়েটা কোটি টাকার ভাব দেখায়,Loading...
Stereotype,"যারা নিজে গাড়ি চালিয়ে কর্মস্থলে যায়, সেই মেয়েরা নাকি বেশি অহংকারী হয়।",Loading...
Stereotype,"মেয়েরা লিডারশিপ নিতে চায় না, পিছনে থেকেই কাজ করতে বেশি কমফোর্ট ফিল করে",Loading...
Derogation,"সার্জারীর পর থুতনি টা নিচে নেমে গেসে, দেখতে আরো খারাপ লাগে এখন এই মেয়েরে",Loading...
Derogation,মেয়েটার আত্মধারণা বাস্তবতার সাথে মেলে না,Loading...
Non Misogynistic,মেয়েটা নিজেকে ভালোভাবে জানে এবং নিজের সীমাবদ্ধতা ও শক্তি উভয়ই স্বীকার করে।,Loading...
Sexual Harassment,মহিলাকে দেখলেই মনে হয় এক্ষুনি যৌবনের নাচ শুরু করবে,Loading...
Derogation,বিয়ের পর আরো বেশি নেকা হয়ে গেছে মেয়েটা,Loading...
Non Misogynistic,মেয়েটার আত্মসম্মানবোধ তাকে অবমানজনক পরিস্থিতি থেকে দূরে রাখে।,Loading...
Non Misogynistic,বোনটি অন্যায় দেখে চুপ করে থাকেন না,Loading...
Non Misogynistic,আপনি আমার প্রিয় একজন মানুষ।,Loading...
Derogation,"এই মহিলার মেকআপ এত ভারী যে মুখ দেখা যায় না, ফেইক সুন্দরী",Loading...
Sexual Harassment,তোর দুধগুলো যখন ছিঁড়ে পড়বে তখন আমি নিয়ে দৌড় দিব।,Loading...
Stereotype,মেয়েরা সংসদে বক্তৃতা দিলে মানুষ মনোযোগ কম দেয়,Loading...
Stereotype,"যতই অস্বীকার করুক, স্বামীর সামনে মাথা উঁচু রাখা মেয়েদের অহংকারের পরিচায়ক — এটাই সত্য।","No matter how much they deny it, holding their heads high in front of their husbands is a sign of pride for women — that's the truth."
Non Misogynistic,মেয়েটা অন্যায় দেখলে চুপ থাকতে পারে না,Loading...
Non Misogynistic,মেয়েটা কারো সাহায্য ছাড়াই ব্যবসা শুরু করে সফল হয়েছে।,Loading...
Stereotype,"মেয়েমানুষের পরিচ্ছন্নতা যত নিখুঁত, সংসারে গ্রহণযোগ্যতা তত বেশি",Loading...
Sexual Harassment,এভাবে ডাকলে খদ্দের আসবে? সবটা খুলে ডাকতে হবে,Loading...
Stereotype,একটা ছেলের জীবন শেষ করতে একটা মেয়েই যথেষ্ট,Loading...
Sexual Harassment,তোমার শারীরিক বৈশিষ্ট্য নিয়ে অশোভন ও যৌন ইঙ্গিতপূর্ণ মন্তব্য করা হচ্ছে।,Loading...
Non Misogynistic,"মেয়েটা প্রতিদিন কিছু না কিছু নতুন শিখছে, এই অভ্যাসটা তাকে এগিয়ে রাখে।",Loading...
Derogation,এই মেয়ের পক্ষে কঠিন কোনো কাজ আশা করা যায় না,Loading...
Non Misogynistic,নারী ভাষা গবেষক ভাষাকে সমৃদ্ধ করেছেন,Loading...
Non Misogynistic,মহিলা পরিবহন বিশেষজ্ঞটি শহরের ট্র্যাফিক সমস্যা সমাধানে কাজ করছেন।,The female transportation expert is working to solve the city's traffic problems.
Sexual Harassment,তোকে কেউ আবাসিক হোটেল অথবা যৌনপল্লীর চামড়া ব্যবসায়ী বলে ডাকলে আরো বেশি ভালো লাগে,Loading...
Sexual Harassment,মেয়েটা দেখতে পুরো কোচি ডাব মনে হয় মিষ্টি হবে,Loading...
Sexual Harassment,এত দেখাইতে মন চাইলে খুলে দেখালেই তো হয় নাটক করার কি আছে,Loading...
Stereotype,"চাকরিজীবী মেয়েদের হাসি যত নিয়ন্ত্রিত, পরিবার তত গর্বিত — এটাই বাস্তব।",Loading...
Non Misogynistic,মহিলা নৃতত্ত্ববিদ মানব সমাজকে গভীরভাবে গবেষণা করেন,Loading...
Sexual Harassment,এই মহিলার ফিগার দেখলে জিম মালিক কাঁদবেন,Loading...
Non Misogynistic,মেয়েদের স্বাধীন চিন্তা ও সিদ্ধান্তগ্রহণ ক্ষমতাকে উৎসাহিত করা উচিত।,Loading...
Stereotype,মেয়েরা সায়েন্টিফিক গবেষণায় তেমন অবদান রাখেনি,Loading...
Non Misogynistic,আপু প্রকৌশলে নতুনত্ব আনছেন,Loading...
Stereotype,মেয়েদের জীবনের সিদ্ধান্ত তাদের পরিবার নেবে,Loading...
Non Misogynistic,একটি মেয়েকে সমান সুযোগ দিলে সে পরিবার ও সমাজ দুটোকেই শক্তিশালী করে।,Loading...
Stereotype,"বলে রাখি, অফিসের ক্লায়েন্ট ভিজিটে কেবল সাজসজ্জাতেই সময় চলে যায়।",Loading...
Stereotype,"মেয়েরা ইঞ্জিনিয়ারিং পড়ে সিট দখল করে, ছেলেরা বঞ্চিত হয়",Loading...
Non Misogynistic,আপু কারোর পেছনে কথা বলেন না,Loading...
Non Misogynistic,মেয়েটার সৃজনশীলতা প্রতিটি কাজে ফুটে ওঠে,Loading...
Stereotype,"মেয়েরা আবার কীসের সম্পত্তি, স্বামীর নামে থাকলেই তো হয়",Loading...
Derogation,এই মেয়েকে দেখলে মনে হয় ডাইনোসরের বংশধর বেঁচে আছে,Loading...
Non Misogynistic,মেয়েদের বিরুদ্ধে সব ধরনের সহিংসতা ও বৈষম্যের বিরুদ্ধে সমাজ ঐক্যবদ্ধ হওয়া উচিত।,Loading...
Derogation,এই মেয়েটার চুল কাটার পরে আরো কুৎসিত লাগছে,Loading...
Non Misogynistic,দিদির উপস্থিতি যেকোনো পরিবেশকে আলোকিত করে,Loading...
Non Misogynistic,নারীর স্বপ্ন বাস্তবায়নে সমাজের পাশে থাকা উচিত,Loading...
Stereotype,মেয়েদের সাফল্যকে মেধার বদলে বিশেষ সুবিধার ফল বলা হয়।,Loading...
Non Misogynistic,মেয়েটি গ্রাম থেকে শহরে এসে নিজেকে প্রতিষ্ঠা করেছেন,Loading...
Non Misogynistic,আপুর রান্নার ভিডিও দেখে সত্যিই বানাতে ইচ্ছে করছে,Loading...
Non Misogynistic,পরিবারের সহায়তায় মেয়েটা তার স্বপ্নকে বাস্তবে পরিণত করতে পেরেছে।,Loading...
Non Misogynistic,দিদি কাউকে দোষ না দিয়ে নিজে সমাধান বের করেন,Loading...
Non Misogynistic,মেয়েটার কাজ ও জীবনধারা দেখে বোঝা যায় সে সত্যিকারের একজন উদ্যমী মানুষ।,Loading...
Derogation,এই মহিলার নাচের পারফরম্যান্স একদম জঘন্য,Loading...
Derogation,ইনি পৃথিবীর সবচেয়ে বড় বেশরম মহিলা,Loading...
Derogation,ওর কোয়ালিটির মধ্যে আছে শুধু লুকটাই,Loading...
Non Misogynistic,পিসির হাতের গয়নায় ঐতিহ্যের ছাপ,Loading...
Non Misogynistic,নারীরা এখন অনেক এগিয়ে গেছে,Loading...
Non Misogynistic,মেয়েটার এই হ্যান্ডিক্রাফটগুলো দেখে শিল্পের মানে বুঝলাম,Loading...
Sexual Harassment,"বেটি ভালো ভালোয় চলো, নাহলে প্রাইভেট ভিডিও সবাইকে পাঠিয়ে দেব",Loading...
Sexual Harassment,"এই নায়িকার মতো একটা মেয়ে যদি বউ হতো, ডেইলি খাট ভাঙতাম",Loading...
Stereotype,"যে মেয়ে সহ্য করতে জানে, সেই মেয়েই ভালো ঘরের লক্ষী বউ হয়।",Loading...
Derogation,এই মেয়ের পোশাক দেখলে মনে হচ্ছে রঙের কারখানায় দুর্ঘটনা হয়েছে,Loading...
Stereotype,"নিজের ব্যবসা শুরু করা মেয়েদের পেছনে কোনো ছেলের নাম থাকেই, এটা মানতেই হবে।",Loading...
Non Misogynistic,দিদির মুখে কখনো অভিযোগ শুনিনি,Loading...
Sexual Harassment,"এই নায়িকা ১৮+ ভিডিও থাকলে আপলোড করো, না হলে নাচ বন্ধ করো",Loading...
Non Misogynistic,মেয়েটার কাজের মান ও ধারাবাহিকতা তাকে একজন নির্ভরযোগ্য পেশাদার করেছে।,The quality and consistency of her work has made her a reliable professional.
Non Misogynistic,মেয়েটি বৃদ্ধদের সঙ্গী হয়ে গল্প করেন,Loading...
Non Misogynistic,বোনটির হাসিতে প্রশান্তি আছে,Loading...
Sexual Harassment,এই মাগি বাজাঁরে গেলে আরো বেশি টাকা পাবে,Loading...
Stereotype,মেয়েরা বিয়ে বাদ দিয়ে ক্যারিয়ারে ফোকাস করলে বৃদ্ধ বয়সে কাঁদবে,Loading...
Non Misogynistic,মেয়েদের স্বাস্থ্যসেবায় সমান প্রবেশাধিকার নিশ্চিত করা জাতীয় কর্তব্য।,Loading...
Derogation,মেয়েটা এত বোকা যে ক্যালকুলেটর চালাতেও গুগল লাগে।,Loading...
Sexual Harassment,এইরকম লেংটা শাড়ি পরার থেকে খুলে আসলেই আরো ভালো লাগত,Loading...
Derogation,কথার আগে এই মেয়ের দাত বের হয়ে যায় । দাতাল কোথাকার,Loading...
Stereotype,মেয়ে হয়ে এত মতামত দিলে বিয়ে করবে কে,Loading...
Derogation,এই বেডির এত বড় মুখ দিয়ে তো হাঙ্গর মাছ যাওয়া আসা করতে পারবে,Loading...
Stereotype,মেয়েরা অফিসের ব্যক্তিগত বিষয় বাইরে বলে ফেলে,Loading...
Non Misogynistic,মেয়েটা প্রতিটি অভিজ্ঞতা থেকে কিছু না কিছু শিখে নেয়।,Loading...
Non Misogynistic,প্রতিটি মেয়ে তার স্বপ্ন পূরণে সমাজের বাধাহীন সহায়তা পাওয়ার অধিকার রাখে।,Loading...
Non Misogynistic,মেয়েমানুষের স্বামী সংসার ঠিক থাকলে সুখে থাকে,Loading...
Derogation,এই বেডির ত্বক দেখে মনে হয় বরফে রাখা মাছ।,Loading...
Non Misogynistic,মহিলা নৃত্যপরিচালকটির কোরিওগ্রাফি ঐতিহ্য ও আধুনিকতার সুন্দর সমন্বয়।,Loading...
Stereotype,"প্রজেক্টের চাপ এলে কান্নাকাটি করে নিজেকে বাঁচায়, স্বীকার করুক বা না করুক।",Loading...
Derogation,"মেয়েটা নিজে রান্না করতে পার না, তবে রাঁধুনির সমালোচনা করে কেন?",Loading...
Non Misogynistic,পরিবার থেকে শুরু করে রাষ্ট্র পর্যন্ত প্রতিটি স্তরে মেয়েদের নিরাপত্তা নিশ্চিত করতে হবে।,Loading...
Non Misogynistic,মহিলা ক্রীড়া সংগঠকটি তরুণ মেয়েদের খেলাধুলায় যুক্ত করতে অক্লান্তভাবে কাজ করছেন।,Loading...
Sexual Harassment,এই মেয়েকে যৌবনে তাড়া করছে,Loading...
Sexual Harassment,"এই বুড়ি, ওড়না ছাড়াই এসেছ যখন, বাকিটাও খুলে ফেলো, আমরাও একটু মজা পেতাম",Loading...
Stereotype,"নারীরা বরাবরই অভিমানের সাগর হয়ে বসে থাকে, বাইরে যাওয়া বন্ধ — এই কথাটা কখনোই পুরোনো হবে না।",Loading...
Stereotype,"বলে রাখি, চাকরিজীবী মেয়েদের উচিত রাতে দশটার আগে বাড়ি ফেরা।",Loading...
Sexual Harassment,এই ডিজের পেট টা চেটে খেতে চাই,Loading...
Stereotype,"বাড়ির চা পাতা, লবণ-হলুদ কোথায় আছে—এটাই মেয়েদের সিলেবাস।",Loading...
Sexual Harassment,"এই ডিজের ঢোল এত বড় কীভাবে, কতজন টিপেছে?",Loading...
Stereotype,"মানতেই হবে, কম পড়াশোনা করা মেয়েই বউ হিসেবে নিরাপদ পছন্দ।",Loading...
Sexual Harassment,তোমাকে কুকুরের সাথে দেয়া যায়,Loading...
Derogation,এই মহিলার বাবা রিক্সাচালক বলে কি ভাব দেখাবে?,Loading...
Stereotype,মহিলা মানুষের সাথে শপিংয়ে যাওয়া মানে সারাদিনের সময় নষ্ট,Loading...
Non Misogynistic,মেয়েটার ইতিবাচক মনোভাব তার কাজের পরিবেশকে আনন্দময় করে।,Loading...
Non Misogynistic,"মেয়েটা একা ভ্রমণ করতে ভালোবাসে, এটা তার নিজস্ব অন্বেষণের পথ।",Loading...
Non Misogynistic,প্রতিটি মেয়ের মানসিক স্বাস্থ্য গুরুত্বপূর্ণ এবং সেটার যত্ন নেওয়া উচিত।,Loading...
Sexual Harassment,এমন এই মাগি পাইলে নিচে ফাটিয়ে দিতাম,Loading...
Non Misogynistic,"মেয়েদের প্রতি ন্যায্য আচরণ নৈতিক দায়িত্বের প্রশ্ন, কোনো অনুগ্রহের বিষয় নয়।",Loading...
Non Misogynistic,দিদির মুখে শান্তির ছাপ,Didi's face shows a look of peace.
Sexual Harassment,"এই মডেলের গোপন জায়গা বিক্রি করলে দাম বলো, ইনবক্সে অপেক্ষা করছি",Loading...
Derogation,মেয়েটার পিঠ দেখলে মনে হয় আলুর বস্তা বাঁধা আছে।,Loading...
Stereotype,নারীদের উচিত রান্নাঘরের দায়িত্ব হাসিমুখে গ্রহণ করা।,Loading...
Sexual Harassment,"খুব ঠান্ডা লাগতেছে ঠান্ডার কারণে আমার আশ্চর্যদন্ড খুঁজে পাচ্ছি না,গরম করে দাও যেন খুঁজে পাই",Loading...
Non Misogynistic,আপু ব্যক্তিগত জীবন ও পেশাকে দারুণ সামলান,Loading...
Sexual Harassment,মেয়েটার সাগরে হাবুডুবু খেতে চাই,Loading...
Derogation,মেয়েটার কারণে পুরো টিম ভোগান্তিতে পড়ে,Loading...
Derogation,মেয়েটাকে পূর্বপুরুষের পেশা জিজ্ঞেস করলে লজ্জায় মাথা নামিয়ে নেবে,Loading...
Non Misogynistic,মেয়েটা কর্মক্ষেত্রে নতুন ধারণা আনে যা সবাই মিলে কাজে লাগায়।,Loading...
Sexual Harassment,"শোনো বুড়ি, আমার কথা না শুনলে ইজ্জত নষ্ট করে ছাড়ব",Loading...
Stereotype,"চাকরিজীবী মেয়েদের লজ্জাই আসল গহনা, বাকি সব নকল",Loading...
Non Misogynistic,মেয়েটা সমাজের পরিবর্তনে বিশ্বাস করে এবং সেই পথে হাঁটছে।,Loading...
Non Misogynistic,মেয়েটার হাতের শরবত গরমে স্বস্তি,Loading...
Non Misogynistic,মেয়েটার দান নীরবে চলে যায়,Loading...
Sexual Harassment,বুড়িকে বিছানায় উলটে দিলে আসল রূপ বোঝা যাবে,Loading...
Non Misogynistic,"মেয়ে মানুষ কান্না লুকায়, কারণ কাঁদলে সমাজ দুর্বল বলে",Loading...
Non Misogynistic,মেয়েটার কাজের প্রতি সমর্পণ তাকে সবার কাছে বিশ্বস্ত করে তুলেছে।,Loading...
Stereotype,ঝগড়ার সময় পুরোনো প্রতিটি ভুল মেয়েরা খোঁচা দিয়ে কথা বলে,Loading...
Derogation,"ওই মেয়েটার মুখের এক পাশ একটু বাঁকা, ঠিক টেরা মানুষের মতো",Loading...
Sexual Harassment,"ওড়না বাসায় রেখে এসে ল্যাংটা ঘুরতি, আমরাও একটু মজা পেতাম",Loading...
Stereotype,"সত্যি বলতে মেয়েদের আবার কীসের স্বাধীনতা, বাবা না হয় স্বামী—কোথাও না কোথাও নির্ভর করতেই হবে।",Loading...
Derogation,ওর দামই তো ২০ টাকা আর ওই ব্যবহার করে ২০ লক্ষ টাকার ব্যাগ,Loading...
Stereotype,"যতই অস্বীকার করুক, অধিকাংশ নারী সচরাচর সংসার গোছানো ছাড়া আর কিছু ঠিকভাবে পারে না — এটাই সত্য।",Loading...
Sexual Harassment,"ভাবি ইনবক্সে আসো, গাড়ি কেনার টাকা দেব এক ঘণ্টার জন্য",Loading...
Derogation,এই মহিলার সংকট মোকাবেলার ক্ষমতা নেই,Loading...
Non Misogynistic,"বিচারক যখন মেয়ে মানুষ, তখন যেদিক থেকে ইমোশনাল স্পিচ আসে রায় সেদিকেই যাবে।",Loading...
Non Misogynistic,মায়ের ত্যাগ পরিবারের ভিত্তি,Loading...
Non Misogynistic,মেয়েদের মেধা ও পরিশ্রমের যথাযথ স্বীকৃতি দেওয়া ন্যায়বিচারের দাবি।,Loading...
Derogation,তোর মতো মেয়ের সাথে কথা বললে সাবধানে বলতে হয়।,Loading...
Non Misogynistic,মেয়েটার মনোবল বিরল,Loading...
Sexual Harassment,ওই মেয়ের শরীর দেখেই সব ছেলের চোখ আটকায় গেছে,Loading...
Non Misogynistic,নারীরা প্রতিটি ক্ষেত্রে অবদান রাখতে সক্ষম,Loading...
Derogation,বুড়ি বিয়ে কবে করছো? পরে তো বর পাবেনা!,Loading...
Non Misogynistic,মেয়েটা সমাজে ইতিবাচক পরিবর্তন আনছেন,Loading...
Non Misogynistic,কাকিমা সবার সমস্যা মন দিয়ে শোনেন,Loading...
Stereotype,মেয়ে মানুষ একা গাড়ি কিনতে পারে না,Loading...
Stereotype,"আসলে যত ছোট ঘটনা, তত বড় গল্প বানিয়ে ছড়িয়ে দেয়।",Loading...
Sexual Harassment,ম্যাডামকে ধরে গণচোদন করানো উচিত,Loading...
Non Misogynistic,মহিলা পরিবেশ বিশেষজ্ঞটি দেশের জলবায়ু নীতিতে প্রভাবশালী পরামর্শ দিচ্ছেন।,Loading...
Non Misogynistic,মেয়েরা আর্থিকভাবে স্বনির্ভর হলে নিজের পরিবার ও সমাজ উভয়ই লাভবান হয়।,Loading...
Stereotype,চাপের মুখে পড়লে মেয়েরা সিদ্ধান্ত নিতে গিয়ে কেঁপে যায়।,Loading...
Non Misogynistic,আপুর ফলিত গণিত জ্ঞান প্রশংসনীয়,Loading...
Stereotype,মেয়েরা নিচে নামতে নামতে এতটাই নিচে নামে তখন তার শরীরের কাপড়ের দিকেও নজর থাকে না,Loading...
Derogation,মেয়েটার হাঁটার স্টাইল যেন দিনে দুপুরে রাস্তায় সাপ যাচ্ছে,Loading...
Derogation,এই মেয়ে নিজের সমস্যা সমাধান করতে না পেরে অন্যকে দোষারোপ করে,Loading...
Non Misogynistic,মেয়েটার কাজের প্রতিটি দিক তার উৎকর্ষের প্রতি প্রতিশ্রুতির প্রমাণ।,Loading...
Sexual Harassment,"বুড়ি, বিকাশে দামি গিফট পাঠাচ্ছি, এক রাতের ডিল কনফার্ম?",Loading...
Stereotype,মেয়েরা পার্লারে গেলে ঘণ্টার পর ঘণ্টা সময় নষ্ট করে,Loading...
Derogation,ওর হাসির ভঙ্গি দেখলে বোঝা যায় কী ধরনের মেয়ে,Loading...
Non Misogynistic,মেয়ে মানুষের মন অনেক নরম হয় । কিছু হলেই কান্না করে দেয়,Loading...
Non Misogynistic,"মেয়ে সমাজকর্মীগুলো এবার এলাকায় যা করেছেন, এর আগে তা কেউ করেনি।",Loading...
Derogation,এই মেয়েটা গৃহিণী হিসেবে সম্পূর্ণ ব্যর্থ,Loading...
Derogation,বুড়ি বেডির বিয়ার খায়েশ শেষ হয় না,Loading...
Stereotype,মেয়েরা দলবেঁধে বাইরে গেলে গসিপ ছাড়া কিছু হয় না,Loading...
Non Misogynistic,"বিশ্ববিদ্যালয়ে ভর্তির সুযোগ পেয়ে মেয়েটার চোখে যে আলো জ্বলছিল, সেটা অসাধারণ।",Loading...
Derogation,মেয়েটার অপরিপক্ক আচরণ দেখে সবাই বিরক্ত হয়,Loading...
Non Misogynistic,"আমার বড় বোনের আঁকা এতো সুন্দর, দেখলে চোখ সরাতে পারবা না",Loading...
Non Misogynistic,আপুর সময়জ্ঞান সত্যিই উদাহরণযোগ্য,Loading...
Derogation,এই মহিলার পেট দেখলে মনে হয় গর্ভাবস্থার অষ্টম মাস চলছে,Loading...
Non Misogynistic,পরিবারে মেয়েটার স্বপ্ন নিয়ে কথা বলা হয় এবং সেটা বাস্তবায়নে সবাই সাহায্য করে।,Loading...
Derogation,বাজে মেয়েটার আচরণ সম্পর্কে কথা বলা সময় নষ্ট,Loading...
Stereotype,মেয়েরা ঝগড়ার সময় সব পুরোনো বিষয় টেনে আনে,Loading...
Stereotype,অনেক মেয়েই নিজের পছন্দের মানুষকে নিয়ে বেশি চিন্তা করে,Loading...
Non Misogynistic,মেয়েটির পোশাক ও আচরণে ভারসাম্য আছে,Loading...
Non Misogynistic,মেয়েটি ছোটবেলা থেকে পড়াশোনায় মেধাবী,Loading...
Sexual Harassment,"মেয়েটিকে আবাসিক হোটেলে নিয়ে যেতে চাই, ১ লাখ দিতে রাজি আছি",Loading...
Non Misogynistic,মেয়েটার নেতৃত্বগুণ তাকে প্রতিষ্ঠানের সবচেয়ে মূল্যবান কর্মীদের একজন করেছে।,Loading...
Derogation,এই মেয়েটার ভাষা ব্যবহার দেখলে মনে হয় শিক্ষিত না,Loading...
Derogation,এরকম ছোট জামা পরে বের হইসেন কেন? কাকে দেখাবেন?,Loading...
Non Misogynistic,খালার বুদ্ধি পারিবারিক সমস্যা সমাধান করে,Loading...
Sexual Harassment,"নর্তকীর দুদু নিলামে তোলা মালের মতো, দেখে আর মজা পাই না",Loading...
Non Misogynistic,মেয়েটি বৃদ্ধাশ্রমে নিয়মিত সাহায্য করেন,Loading...
Non Misogynistic,বোনটি সত্যের পক্ষে কখনো আপোস করেন না,Loading...
Derogation,এই মহিলার হিংসুটে স্বভাব দেখলে কষ্ট লাগে।,Loading...
Non Misogynistic,মহিলা মানবাধিকার কর্মীটি নিষ্ঠার সাথে সুবিধাবঞ্চিতদের পক্ষে কাজ করছেন।,Loading...
Non Misogynistic,মেয়েটার চিন্তাভাবনা বহুমুখী,Loading...
Stereotype,"মেয়ে হয়ে চাকরি করবা, তাহলে ঘর সংসার সামলাবে কে?",Loading...
Stereotype,এই যুগের মেয়েরা অধিকাংশ সময় বিয়েতে দেরি মানেই চরিত্রে কোনো না কোনো খুঁত।,Loading...
Stereotype,"মেহমান এলে মেয়েরাই রান্নাঘরে যাবে, এটা নিয়ে আবার কথা কীসের",Loading...
Sexual Harassment,"এই সুন্দরী ইনবক্সে আসো, রাতের ব্যবস্থা করি",Loading...
Sexual Harassment,এই মাগি রে বিয়ে করবে কে?,Loading...
Derogation,"এত পরিমাণ মেকআপ করার পরেও চেহারায় গ্লো নাই, মেকআপ ছাড়া চেহারার কি অবস্থা আল্লাহই জানে",Loading...
